Fecha,Descripción,Depósitos,Retiros,Saldo
31-MAR-25,SALDO ANTERIOR,0.0,0.0,42140.94
01-ABR-25,LOS TAMALES D TERESI 09316975C,1954.0,0.0,44094.94
01-ABR-25,COMISION 09316975C,0.0,44.45,44050.49
01-ABR-25,IVA COMISION 09316975C,0.0,7.1,44043.39
01-ABR-25,LOS TAMALES D TERESI 09316975D,3400.0,0.0,47443.39
01-ABR-25,COMISION 09316975D,0.0,67.66,47375.73
01-ABR-25,IVA COMISION 09316975D,0.0,10.81,47364.92
01-ABR-25,JEGC ABARROTES 09371029C,64.0,0.0,47428.92
01-ABR-25,COMISION 09371029C,0.0,0.48,47428.44
01-ABR-25,IVA COMISION 09371029C,0.0,0.08,47428.36
01-ABR-25,JEGC ABARROTES 09371029D,1134.0,0.0,48562.36
01-ABR-25,COMISION 09371029D,0.0,8.51,48553.85
01-ABR-25,IVA COMISION 09371029D,0.0,1.35,48552.5
02-ABR-25,0040810CARGO DOMICILIACION,0.0,7097.42,0.0
02-ABR-25,LOS TAMALES D TERESI 09316975C,1148.0,0.0,42603.08
02-ABR-25,COMISION 09316975C,0.0,22.84,42580.24
02-ABR-25,IVA COMISION 09316975C,0.0,3.65,42576.59
02-ABR-25,LOS TAMALES D TERESI 09316975D,8380.5,0.0,50957.09
02-ABR-25,COMISION 09316975D,0.0,166.77,50790.32
02-ABR-25,IVA COMISION 09316975D,0.0,26.69,50763.63
02-ABR-25,JEGC ABARROTES 09371029C,172.0,0.0,50935.63
02-ABR-25,COMISION 09371029C,0.0,1.29,50934.34
02-ABR-25,IVA COMISION 09371029C,0.0,0.21,50934.13
02-ABR-25,JEGC ABARROTES 09371029D,398.0,0.0,51332.13
02-ABR-25,COMISION 09371029D,0.0,3.0,51329.13
02-ABR-25,IVA COMISION 09371029D,0.0,0.49,51328.64
02-ABR-25,"TRASPASO A CUENTA DE TERCEROS 0002042025 IVA:00000000.00 , A LA CUENTA: 0037014729",0.0,8400.0,42928.64
02-ABR-25,"TRASPASO A CUENTA DE TERCEROS 0002042025 IVA:00000000.00 , A LA CUENTA: 1164054755",0.0,3005.64,39923.0
02-ABR-25,"TRASPASO A CUENTA DE TERCEROS 0002042025 IVA:00000000.00 , A LA CUENTA: 0131038259",0.0,5480.8,34442.2
02-ABR-25,"TRASPASO A CUENTA DE TERCEROS 0002042025 IVA:00000000.00 , A LA CUENTA: 0158008004",0.0,4472.26,29969.94
02-ABR-25,"TRASPASO A CUENTA DE TERCEROS 0002042025 IVA:00000000.00 , A LA CUENTA: 1273496480",0.0,1555.74,28414.2
02-ABR-25,"TRASPASO A CUENTA DE TERCEROS 0002042025 IVA:00000000.00 , A LA CUENTA: 0401639300",0.0,5406.77,23007.43
02-ABR-25,"TRASPASO A CUENTA DE TERCEROS 0002042025 IVA:00000000.00 , A LA CUENTA: 1164054755",0.0,1980.72,21026.71
02-ABR-25,"TRASPASO A CUENTA DE TERCEROS 0002042025 IVA:00000000.00 , A LA CUENTA: 0805377611",0.0,1624.0,19402.71
02-ABR-25,"COMPRA ORDEN DE PAGO SPEI 0020425 =REFERENCIA CTA/CLABE: 058580420048300115, BXI",0.0,921.04,18481.67
02-ABR-25,"TRASPASO A CUENTA DE TERCEROS 0002042025 IVA:00000000.00 , A LA CUENTA: 0218946998",0.0,1233.6,17248.07
02-ABR-25,"TRASPASO A CUENTA DE TERCEROS 0002042025 IVA:00000000.00 , A LA CUENTA: 0218946998",0.0,582.3,16665.77
02-ABR-25,"TRASPASO A CUENTA DE TERCEROS 0002042025 IVA:00000000.00 , A LA CUENTA: 0805377611",0.0,1716.8,14948.97
02-ABR-25,"TRASPASO A CUENTA DE TERCEROS 0002042025 IVA:00000000.00 , A LA CUENTA: 0401639300",0.0,466.67,14482.3
02-ABR-25,"BNET01002504020034330549 SPEI RECIBIDO, BCO:0012 BBVA MEXICO HR LIQ: 15:00:02 DEL",12500.0,0.0,26982.3
02-ABR-25,"TRASPASO A CUENTA DE TERCEROS 0002042025 IVA:00000000.00 , A LA CUENTA: 0128047093",0.0,12535.6,14446.7
03-ABR-25,JEGC ABARROTES 09371029C,796.0,0.0,15242.7
03-ABR-25,COMISION 09371029C,0.0,5.97,15236.73
03-ABR-25,IVA COMISION 09371029C,0.0,0.95,15235.78
03-ABR-25,JEGC ABARROTES 09371029D,571.0,0.0,15806.78
03-ABR-25,COMISION 09371029D,0.0,4.29,15802.49
03-ABR-25,IVA COMISION 09371029D,0.0,0.69,15801.8
03-ABR-25,LOS TAMALES D TERESI 09316975C,1826.0,0.0,17627.8
03-ABR-25,COMISION 09316975C,0.0,43.04,17584.76
03-ABR-25,IVA COMISION 09316975C,0.0,6.9,17577.86
03-ABR-25,LOS TAMALES D TERESI 09316975D,5820.1,0.0,23397.96
03-ABR-25,COMISION 09316975D,0.0,118.25,23279.71
03-ABR-25,IVA COMISION 09316975D,0.0,18.92,23260.79
03-ABR-25,RENTA MENSUAL 09371029,0.0,300.0,22960.79
03-ABR-25,I.V.A. COMISION 09371029,0.0,48.0,22912.79
03-ABR-25,PAGO DE IVA 087893992,0.0,454.48,22458.31
03-ABR-25,PAGO DE CAPITAL 087893992,0.0,6872.08,15586.23
03-ABR-25,PAGO DE INTERESES 087893992,0.0,2840.45,12745.78
03-ABR-25,INTERESES NO REALES 087893992,0.0,719.45,12026.33
04-ABR-25,LOS TAMALES D TERESI 09316975C,3527.0,0.0,15553.33
04-ABR-25,COMISION 09316975C,0.0,70.19,15483.14
04-ABR-25,IVA COMISION 09316975C,0.0,11.23,15471.91
04-ABR-25,LOS TAMALES D TERESI 09316975D,2120.0,0.0,17591.91
04-ABR-25,COMISION 09316975D,0.0,42.18,17549.73
04-ABR-25,IVA COMISION 09316975D,0.0,6.75,17542.98
04-ABR-25,JEGC ABARROTES 09371029C,94.0,0.0,17636.98
04-ABR-25,COMISION 09371029C,0.0,0.71,17636.27
04-ABR-25,IVA COMISION 09371029C,0.0,0.11,17636.16
04-ABR-25,JEGC ABARROTES 09371029D,628.0,0.0,18264.16
04-ABR-25,COMISION 09371029D,0.0,4.72,18259.44
04-ABR-25,IVA COMISION 09371029D,0.0,0.76,18258.68
04-ABR-25,CARGO POR PAGO CONCENTRACION MOV TARJETA DE CRED 4931580014434028 AL RFC,0.0,1483.86,16774.82
04-ABR-25,COMISION 09371029D,0.0,4.72,18259.44
04-ABR-25,IVA COMISION 09371029D,0.0,0.76,18258.68
04-ABR-25,CARGO POR PAGO CONCENTRACION MOV TARJETA DE CRED 4931580014434028 AL RFC,0.0,1483.86,16774.82
04-ABR-25,RETIRO DEP. ELECTRONICO DE LA EMISORA : 04499,0.0,12597.8,4177.02
05-ABR-25,MEMBRESIA ENLACE GLOBAL,0.0,140.0,4037.02
05-ABR-25,IVA MEMBRESIA ENLACE GLOBAL,0.0,22.4,4014.62
07-ABR-25,LOS TAMALES D TERESI 09297542C,180.0,0.0,4194.62
07-ABR-25,COMISION 09297542C,0.0,3.58,4191.04
07-ABR-25,IVA COMISION 09297542C,0.0,0.57,4190.47
07-ABR-25,LOS TAMALES D TERESI 09297542D,1000.0,0.0,5190.47
07-ABR-25,COMISION 09297542D,0.0,19.9,5170.57
07-ABR-25,IVA COMISION 09297542D,0.0,3.18,5167.39
07-ABR-25,LOS TAMALES D TERESI 09316975C,9752.6,0.0,14919.99
02-ABR-25,"TRASPASO A CUENTA DE TERCEROS 0002042025 IVA:00000000.00 , A LA CUENTA: 0401639300",0.0,466.67,14482.3
02-ABR-25,"BNET01002504020034330549 SPEI RECIBIDO, BCO:0012 BBVA MEXICO HR LIQ: 15:00:02 DEL",12500.0,0.0,26982.3
02-ABR-25,"TRASPASO A CUENTA DE TERCEROS 0002042025 IVA:00000000.00 , A LA CUENTA: 0128047093",0.0,12535.6,14446.7
03-ABR-25,JEGC ABARROTES 09371029C,796.0,0.0,15242.7
03-ABR-25,COMISION 09371029C,0.0,5.97,15236.73
03-ABR-25,IVA COMISION 09371029C,0.0,0.95,15235.78
03-ABR-25,JEGC ABARROTES 09371029D,571.0,0.0,15806.78
03-ABR-25,COMISION 09371029D,0.0,4.29,15802.49
03-ABR-25,IVA COMISION 09371029D,0.0,0.69,15801.8
03-ABR-25,LOS TAMALES D TERESI 09316975C,1826.0,0.0,17627.8
03-ABR-25,COMISION 09316975C,0.0,43.04,17584.76
03-ABR-25,IVA COMISION 09316975C,0.0,6.9,17577.86
03-ABR-25,LOS TAMALES D TERESI 09316975D,5820.1,0.0,23397.96
03-ABR-25,COMISION 09316975D,0.0,118.25,23279.71
03-ABR-25,IVA COMISION 09316975D,0.0,18.92,23260.79
03-ABR-25,RENTA MENSUAL 09371029,0.0,300.0,22960.79
03-ABR-25,I.V.A. COMISION 09371029,0.0,48.0,22912.79
03-ABR-25,PAGO DE IVA 087893992,0.0,454.48,22458.31
03-ABR-25,PAGO DE CAPITAL 087893992,0.0,6872.08,15586.23
03-ABR-25,PAGO DE INTERESES 087893992,0.0,2840.45,12745.78
03-ABR-25,INTERESES NO REALES 087893992,0.0,719.45,12026.33
04-ABR-25,LOS TAMALES D TERESI 09316975C,3527.0,0.0,15553.33
04-ABR-25,COMISION 09316975C,0.0,70.19,15483.14
04-ABR-25,IVA COMISION 09316975C,0.0,11.23,15471.91
04-ABR-25,LOS TAMALES D TERESI 09316975D,2120.0,0.0,17591.91
04-ABR-25,COMISION 09316975D,0.0,42.18,17549.73
04-ABR-25,IVA COMISION 09316975D,0.0,6.75,17542.98
04-ABR-25,JEGC ABARROTES 09371029C,94.0,0.0,17636.98
04-ABR-25,COMISION 09371029C,0.0,0.71,17636.27
04-ABR-25,IVA COMISION 09371029C,0.0,0.11,17636.16
04-ABR-25,JEGC ABARROTES 09371029D,628.0,0.0,18264.16
04-ABR-25,COMISION 09371029D,0.0,4.72,18259.44
04-ABR-25,IVA COMISION 09371029D,0.0,0.76,18258.68
04-ABR-25,CARGO POR PAGO CONCENTRACION MOV TARJETA DE CRED 4931580014434028 AL RFC,0.0,1483.86,16774.82
04-ABR-25,RETIRO DEP. ELECTRONICO DE LA EMISORA : 04499,0.0,12597.8,4177.02
05-ABR-25,MEMBRESIA ENLACE GLOBAL,0.0,140.0,4037.02
05-ABR-25,IVA MEMBRESIA ENLACE GLOBAL,0.0,22.4,4014.62
07-ABR-25,LOS TAMALES D TERESI 09297542C,180.0,0.0,4194.62
